Manufacturer,Year,Mileage
dodge,2014,74203.0
dodge,2019,26549.0
dodge,2009,107856.0
dodge,2007,160528.0
dodge,2018,28307.0
dodge,2018,49496.0
ford,2018,37878.0
ford,2019,15755.0
ford,2019,22906.0
ford,2015,59656.0
ford,2018,363.0
ford,2019,33462.0
ford,2013,143191.0
ford,2018,40375.0
ford,2017,32747.0
ford,2019,33717.0
ford,2019,16293.0
ford,2019,21546.0
ford,2019,51370.0
ford,2019,23512.0
ford,2016,69428.0
ford,2017,57853.0
ford,2016,99544.0
ford,2016,90946.0
ford,2016,23803.0
ford,2019,2382.0
ford,2019,31260.0
ford,2016,99941.0
ford,2016,141603.0
ford,2019,26591.0
ford,2019,15456.0
ford,2017,85218.0
ford,2019,33324.0
ford,2019,8402.0
ford,2019,41628.0
ford,2013,91652.0
ford,2020,2089.0
ford,2019,44778.0
ford,2015,92165.0
ford,2019,36616.0
ford,2015,80612.0
ford,2019,16569.0
ford,2019,39170.0
ford,2017,99923.0
ford,2019,34527.0
ford,2019,34277.0
ford,2020,7.0
ford,2019,25090.0
ford,2013,110748.0
ford,2020,740.0
ford,2019,22858.0
ford,2014,96076.0
ford,2019,24662.0
ford,2019,17510.0
ford,2019,35801.0
ford,2013,88781.0
ford,2019,36978.0
ford,2012,189776.0
ford,2019,11734.0
ford,2019,41399.0
ford,2019,51589.0
ford,2019,49254.0
ford,2019,43617.0
ford,2019,21976.0
ford,2019,11544.0
ford,2019,29632.0
ford,2019,20628.0
ford,2017,15075.0
ford,2019,17828.0
ford,2019,29850.0
ford,2017,33763.0
ford,2019,37059.0
ford,2019,41928.0
ford,2012,201187.0
ford,2019,15835.0
ford,2019,37044.0
ford,2012,151641.0
ford,2019,35233.0
ford,2019,26675.0
ford,2014,71205.0
ford,2017,96451.0
ford,2018,38157.0
ford,2018,50513.0
ford,2019,31408.0
ford,2019,18947.0
ford,2018,41351.0
ford,2019,32038.0
ford,2018,38279.0
ford,2019,30471.0
ford,2019,39976.0
ford,2018,41569.0
ford,2018,31598.0
ford,2019,31380.0
ford,2018,22179.0
ford,2019,29266.0
ford,2018,42156.0
ford,2019,30875.0
ford,2019,30609.0
ford,2019,31142.0
ford,2019,29508.0
ford,2018,38148.0
ford,2018,33475.0
ford,2018,34081.0
ford,2019,26821.0
ford,2018,40577.0
ford,2019,52355.0
ford,2018,30620.0
ford,2019,22019.0
ford,2018,36742.0
ford,2019,32305.0
ford,2019,32473.0
ford,2019,34696.0
ford,2018,43519.0
ford,2019,37716.0
ford,2018,41627.0
ford,2019,29986.0
ford,2018,41496.0
ford,2019,20613.0
ford,2018,43406.0
ford,2018,26186.0
ford,2019,12837.0
ford,2019,27461.0
ford,2017,91979.0
ford,2017,108727.0
ford,2017,94851.0
ford,2019,27082.0
ford,2017,107569.0
ford,2016,40371.0
ford,2017,32284.0
ford,2017,76258.0
ford,2019,5035.0
ford,2019,25638.0
ford,2016,50423.0
ford,2018,11739.0
ford,2018,19029.0
ford,2016,66655.0
ford,2018,31561.0
ford,2016,30325.0
ford,2017,59798.0
ford,2019,29633.0
ford,2014,147574.0
ford,2019,16934.0
ford,2018,74961.0
ford,2019,32154.0
ford,2018,37245.0
ford,2019,29345.0
ford,2018,25371.0
ford,2019,30054.0
ford,2018,11173.0
ford,2013,104764.0
ford,2019,30902.0
ford,2019,18902.0
ford,2019,13002.0
ford,2019,16725.0
ford,2019,14291.0
ford,2019,33451.0
ford,2019,5250.0
ford,2019,13822.0
ford,2019,9732.0
ford,2019,13558.0
ford,2019,28854.0
ford,2017,57889.0
ford,2018,41127.0
ford,2019,24993.0
ford,2019,19147.0
ford,2018,36124.0
ford,2019,13085.0
ford,2017,23223.0
ford,2019,36956.0
ford,2019,19493.0
ford,2013,95655.0
ford,2019,32365.0
ford,2019,41672.0
ford,2013,140870.0
ford,2019,31261.0
ford,2019,22001.0
ford,2014,103862.0
ford,2019,21150.0
ford,2019,21346.0
ford,2013,125451.0
ford,2019,39013.0
ford,2019,18418.0
ford,2019,14358.0
ford,2019,27774.0
ford,2015,105027.0
ford,2019,27806.0
ford,2019,16924.0
ford,2017,41925.0
ford,2019,9278.0
ford,2019,15792.0
ford,2017,43527.0
ford,2015,128505.0
ford,2019,18202.0
ford,2018,89809.0
ford,2016,96129.0
ford,2019,12174.0
ford,2018,59549.0
ford,2015,116539.0
ford,2019,12928.0
ford,2017,132150.0
ford,2012,186713.0
ford,2019,34734.0
ford,2019,10475.0
ford,2019,36305.0
ford,2013,82670.0
ford,2019,30181.0
ford,2015,54198.0
